Sample_ID	JG_OTU	Group
ZDP_1049b	Zmm-LR-BSON-Mex-AMEL	ZMMLR
ZDP_0919a	Zmm-LR-BSON-Mex-BACA	ZMMLR
ZDP_0960b	Zmm-LR-BSON-Mex-SAHU	ZMMLR
ZDP_0962b	Zmm-LR-CABU-Col-PAMP-1	ZMMLR
ZDP_0979b	Zmm-LR-CABU-Col-PAMP-2	ZMMLR
ZDP_0953b	Zmm-LR-CABU-Col-SILO	ZMMLR
ZDP_0264a	Zmm-LR-CABU-Col-SUSA	ZMMLR
ZDP_1051b	Zmm-LR-CACA-Mex	ZMMLR
ZDP_1222a	Zmm-LR-CACA-Mex-MART	ZMMLR
ZDP_0705b	Zmm-LR-CACA-Mex-TLAC	ZMMLR
ZDP_0350a	Zmm-LR-CACA-Mex-TOLU	ZMMLR
ZDP_0963a	Zmm-LR-CACO-Col-CONF	ZMMLR
ZDP_0968a	Zmm-LR-CACO-Col-PUEN	ZMMLR
ZDP_0954b	Zmm-LR-CACO-Col-SGIL	ZMMLR
ZDP_0149a	Zmm-LR-CACO-Col-SOMO	ZMMLR
ZDP_1196b	Zmm-LR-CACO-Ven-MERI-1	ZMMLR
ZDP_1478b	Zmm-LR-CACO-Ven-MERI-2	ZMMLR
ZDP_0478a	Zmm-LR-CAIN-Bra-1	ZMMLR
ZDP_0891b	Zmm-LR-CAIN-Bra-2	ZMMLR
ZDP_0901b	Zmm-LR-CAIN-Bra-3	ZMMLR
ZDP_0282b	Zmm-LR-CAMA-Ecu	ZMMLR
ZDP_0410a	Zmm-LR-CAMA-Ecu-IMBA	ZMMLR
ZDP_0397a	Zmm-LR-CAMA-Ecu-MANA	ZMMLR
ZDP_0432a	Zmm-LR-CAMA-Ecu-RIOS	ZMMLR
ZDP_0144a	Zmm-LR-CAMB-Bol-LAPA-1	ZMMLR
ZDP_0146a	Zmm-LR-CAMB-Bol-LAPA-2	ZMMLR
ZDP_0213a	Zmm-LR-CAME-Chi-COQU	ZMMLR
ZDP_0215a	Zmm-LR-CAME-Chi-SAMO	ZMMLR
ZDP_0286b	Zmm-LR-CAND-Ecu-CHON	ZMMLR
ZDP_0345a	Zmm-LR-CAND-Ecu-MANA-1	ZMMLR
ZDP_0428a	Zmm-LR-CAND-Ecu-MANA-2	ZMMLR
ZDP_0438a	Zmm-LR-CAND-Ecu-MANA-3	ZMMLR
ZDP_0584a	Zmm-LR-CANG-Ecu-IMBA	ZMMLR
ZDP_0560a	Zmm-LR-CANG-Ecu-MINA	ZMMLR
S1800	Zmm-LR-CANI-Ven-ANZO-1	ZMMLR
ZDP_0895a	Zmm-LR-CANI-Ven-ANZO-2	ZMMLR
ZDP_1067a	Zmm-LR-CANI-Ven-ANZO-3	ZMMLR
ZDP_1475a	Zmm-LR-CANI-Ven-ANZO-4	ZMMLR
ZDP_0846a	Zmm-LR-CANI-Ven-MATA	ZMMLR
ZDP_0917a	Zmm-LR-CANI-Ven-YARA_s	ZMMLR
ZDP_0209a	Zmm-LR-CAPC-Chi-ANTO-1	ZMMLR
ZDP_0210a	Zmm-LR-CAPC-Chi-ANTO-2	ZMMLR
ZDP_0207a	Zmm-LR-CAPG-Chi-ANTO-1	ZMMLR
ZDP_0208a	Zmm-LR-CAPG-Chi-ANTO-2	ZMMLR
ZDP_0363b	Zmm-LR-CAPI-Col-PAST	ZMMLR
ZDP_0028a	Zmm-LR-CAPI-Col-RION-1	ZMMLR
ZDP_0029a	Zmm-LR-CAPI-Col-RION-2	ZMMLR
ZDP_0031a	Zmm-LR-CAPI-Col-SONS	ZMMLR
ZDP_1036a	Zmm-LR-CAPN-Chi-ANTO	ZMMLR
ZDP_0557a	Zmm-LR-CAQT-Col-ALGE	ZMMLR
ZDP_0162a	Zmm-LR-CAQT-Col-BELE	ZMMLR
ZDP_0161a	Zmm-LR-CAQT-Col-MONT	ZMMLR
ZDP_0296a	Zmm-LR-CARI-Col-ARAC	ZMMLR
ZDP_0370b	Zmm-LR-CARI-Col-FUND	ZMMLR
ZDP_0261a	Zmm-LR-CARI-Col-MONT-1	ZMMLR
ZDP_1449b	Zmm-LR-CARI-Col-MONT-2	ZMMLR
ZDP_1486b	Zmm-LR-CARI-Col-MONT-3	ZMMLR
S1801	Zmm-LR-CARI-Col-TIER	ZMMLR
ZDP_0925b	Zmm-LR-CARI-Ven-ANZO	ZMMLR
ZDP_0914b	Zmm-LR-CARI-Ven-BARI	ZMMLR
ZDP_0905a	Zmm-LR-CARI-Ven-BOLI	ZMMLR
ZDP_0862a	Zmm-LR-CARI-Ven-ESPI	ZMMLR
ZDP_0679b	Zmm-LR-CAYF-Can-QC	ZMMLR
S1824	Zmm-LR-CBLA-Arg-HUMA-1	ZMMLR
ZDP_0047a	Zmm-LR-CBLA-Arg-HUMA-2	ZMMLR
ZDP_0046a	Zmm-LR-CCAR-Arg-HUMA	ZMMLR
ZDP_0284b	Zmm-LR-CCAT-Ecu-ATAC	ZMMLR
ZDP_0451a	Zmm-LR-CCAT-Ecu-NAPO	ZMMLR
ZDP_0442a	Zmm-LR-CCAT-Ecu-PICH	ZMMLR
ZDP_0082b	Zmm-LR-CDEN-Bol-LAGU	ZMMLR
ZDP_1042a	Zmm-LR-CDEN-Bol-SIGN	ZMMLR
ZDP_0403a	Zmm-LR-CELA-Mex	ZMMLR
ZDP_0381a	Zmm-LR-CELA-Mex-CELA	ZMMLR
ZDP_0445a	Zmm-LR-CELA-Mex-CORT	ZMMLR
ZDP_0413a	Zmm-LR-CELA-Mex-CRUZ	ZMMLR
ZDP_0457a	Zmm-LR-CELA-Mex-JUAN	ZMMLR
ZDP_0423a	Zmm-LR-CELA-Mex-PROG	ZMMLR
ZDP_1091a	Zmm-LR-CELA-Mex-SALV	ZMMLR
ZDP_1193b	Zmm-LR-CFLI-Cub-HAVA-1	ZMMLR
ZDP_1491a	Zmm-LR-CFLI-Cub-HAVA-2	ZMMLR
S1833	Zmm-LR-CFLI-Cub-MAYA-1	ZMMLR
ZDP_0991a	Zmm-LR-CFLI-Cub-MAYA-2	ZMMLR
ZDP_0060a	Zmm-LR-CFMO-Per-HUAM	ZMMLR
ZDP_0058a	Zmm-LR-CFMO-Per-HUAN	ZMMLR
